step	config	ctk	ctv	ctx	median_kld	ppl_q	notes
anchor	turbo8/turbo8	turbo8	turbo8	2048	0.000222	6.582	build-health anchor (near-lossless)
ref	turbo2_0/turbo2_0	turbo2	turbo2	2048	0.019766	6.858	2-bit symmetric reference
E0	turbo1-K-only	turbo1	f16	2048	0.031964	7.168	1-bit K alone (SimHash dot avg)
E0	turbo1-V-only	f16	turbo1	2048	0.055424	7.487	1-bit V alone (per-row inv-FWHT)
E0	turbo1/turbo1	turbo1	turbo1	2048	0.090099	8.230	pure 1-bit KV, 1.125 bpw, norm-corr scale
E0	turbo1/turbo1	turbo1	turbo1	8192	0.089291	7.837
E0	turbo1/turbo1	turbo1	turbo1	16384	0.084059	7.184	HEADLINE median@16k
E1	scale0-normcorr	turbo1	turbo1	2048	0.090099	8.230	WINNER (=E0); energy-preserving sigma
E1	scale1-meanabs	turbo1	turbo1	2048	0.149761	9.588	MSE-optimal mean|x| WORSE for KLD
E1	scale2-absmax	turbo1	turbo1	2048	6.112308	3829.9	absmax overshoots, broken
E4	sdelta0-off	turbo1	turbo1	2048	0.090099	8.230	baseline (=E0)
E4	sdelta1-1storder	turbo1	turbo1	2048	0.222699	10.622	REJECT: sigma-delta hurts (no decode filter)
E4	sdelta2-2ndorder	turbo1	turbo1	2048	1.365036	42.367	REJECT: worse
E4-CORRECTION	sigma-delta	-	-	-	-	-	read SDQ-LLM(2510.03275): ΣΔ is OVERSAMPLING(OSR>1) method; null at OSR=1 is CORRECT (no freq headroom), not unfaithful-impl. 2-bit candidate -> research/2-bit doc.
E3	turbo1_nsn/turbo1_nsn	turbo1_nsn	turbo1_nsn	2048	0.090954	8.448	NSNQuant per-head center+double-norm, 1.25 bpw. NEUTRAL vs turbo1 0.090 @1.125 -> DOMINATED. (FWHT concentrates per-channel DC into bin0; sign code barely affected.) Bug found+fixed: InnerQ-zero on nsn decode (gate).
E3	turbo1_nsn/turbo1_nsn	turbo1_nsn	turbo1_nsn	16384	0.182649	9.444	WORSE than turbo1 0.084 at depth (2.2x). Global per-chunk mean (whole 16k batch) is non-local -> poor center at depth (NSNQuant uses 64-tok residual chunks). E3 REJECTED.
E5	RaBitQ-K (SCALE=3)	turbo1	f16	2048	0.033763	6.806	K-only RaBitQ unbiased-IP scale (=1.25sigma per-group). vs sigma K=0.032 -> SLIGHTLY WORSE. RaBitQ factor concentrates at 0.8 (~constant temp); KLD favors norm-preservation over IP-unbiasedness. E5/E5b REJECTED (free-fold makes stored factor pointless).
E6	dither w=0.5	turbo1	turbo1	2048	0.092036	8.374	subtractive TPDF dither, slightly worse
E6	dither w=1.0	turbo1	turbo1	2048	0.106344	8.640	worse (monotone in width). REJECTED. KLD variance-limited not bias-limited (same as E5). E6b blue-noise falls with it (variance is the issue, not pattern).
E9	OSCAR rotation (offline)	-	-	-	-	-	Rotation IRRELEVANT for 1-bit sign: FWHT 0.4025 / random 0.4012 / PCA 0.4015 / FWHT+PCA 0.4008 recon-MSE (all ~0.40, <0.5% spread). Sign-quant rotation-invariant (SimHash). OSCAR's outlier-alignment needs magnitude-sensitive INT2; no transfer to sign. REJECTED offline, no build.
E8	Coupled-Quant (offline)	-	-	-	-	-	POSITIVE: 256-entry 8-dim k-means codebook (1bit/ch, 1.125bpw=turbo1) beats indep-sign by +19.6% recon-MSE on POST-FWHT data (0.4025->0.3235), ~same as on raw. FWHT removes linear corr but CQ exploits joint distribution SHAPE (decorr != independent). THE winner of the vanilla screen. Building turbo1_cq.
E8	turbo1_cq/turbo1_cq	turbo1_cq	turbo1_cq	2048	0.073248	7.776	WINNER: Coupled-Quant (256-entry 8-dim codebook) beats turbo1 0.0901 by -18.7% at SAME 1.125 bpw. +21% MSE -> ~19% KLD. First positive lever. (turbo2_0=0.0198)
E8	turbo1_cq/turbo1_cq	turbo1_cq	turbo1_cq	8192	0.069880	7.417	-21.7% vs turbo1 0.0893
E8	turbo1_cq/turbo1_cq	turbo1_cq	turbo1_cq	16384	0.064291	6.756	HEADLINE: -23.5% vs turbo1 0.084. WIN GROWS with depth (real-KV codebook, unlike EXP-06 synthetic). NEW BEST 1-bit codec @1.125bpw.
